word,count,scores
棉花,47,0.2500000000000001
支持,46,0.626712328767123
新疆,36,0.8999999999999999
鼓掌,17,0.764705882352941
doge,15,0.5
新疆棉,15,0.5
早安,14,0.7665794056347368
允悲,11,0.9729817270377529
可以,11,0.5262327818078083
缅怀,9,0.7499999999999999
call,8,0.33333333333333337
厂长,7,0.5
cry,7,0.5
世界,7,0.9108695652173914
最好,7,0.6932678991766459
之一,7,0.5262327818078083
开心,6,0.7428571428571427
早上好,6,0.5129551081188922
太阳,6,0.6086956521739134
苦涩,5,0.875
http,5,0.5
cn,5,0.5
馋嘴,5,0.5193138830795896
鲜花,5,0.6666666666666671
中国,5,0.7349726775956282
这个,5,0.5262327818078083
羡慕,5,0.9827586206896551
花花,5,0.7499999999999999
简单,4,0.601837672281776
good,4,0.44444444444444464
快乐,4,0.9490740740740741
一下,4,0.5262327818078083
好美,4,0.9119686661707733
你们,4,0.5262327818078083
姐姐,4,0.7551020408163265
看看,4,0.5262327818078083
裂开,4,0.16666666666666674
什么,4,0.5262327818078083
呀呀,4,0.5262327818078083
自己,3,0.5262327818078083
一周,3,0.4959016393442627
就是,3,0.5262327818078083
监控,3,0.04166666666666663
大美,3,0.8606878698618784
祖国,3,0.8333333333333333
一个,3,0.5047599337748345
天津,3,0.26315789473684226
大国,3,0.5
外交,3,0.5
美好,3,0.7350993377483442
没有,3,0.5262327818078083
这样,3,0.5262327818078083
生活,3,0.83150800336984
皮肤,3,0.5384615384615385
好看,3,0.7112462006079026
知道,3,0.5262327818078083
给力,3,0.5
产生,2,0.5262327818078083
画面,2,0.5806451612903224
干什么,2,0.25210084033613434
见识,2,0.8461538461538461
马上,2,0.541666666666667
纯白,2,0.6525693586723977
举手,2,0.8
无瑕,2,0.5
MVP,2,0.5
怎么,2,0.5262327818078083
可爱,2,0.8088888888888889
不容,2,0.5
还是,2,0.5262327818078083
卫生巾,2,0.5
土地,2,0.875
玷污,2,0.2857142857142859
小时,2,0.4979009235936188
养生,2,0.7499999999999999
情不自禁,2,0.875
不错,2,0.8612132352941176
为什么,2,0.5262327818078083
不用,2,0.5836909871244634
一顿,2,0.5217391304347825
按摩,2,0.40186915887850483
抹黑,2,0.19999999999999996
武汉,2,0.15000000000000002
玉林,2,0.5
不过,2,0.5262327818078083
注意,2,0.5262327818078083
可能,2,0.5262327818078083
坚决,2,0.5262327818078083
日寇,2,0.5
我们,2,0.5262327818078083
男朋友,2,0.6480911860472155
忍不住,2,0.6052631578947372
能够,2,0.5262327818078083
阻挡,2,0.7777777777777779
异性恋,2,0.5
笑哈哈,2,0.6999999999999997
几条,2,0.5420560747663552
这是,2,0.5262327818078083
结束,2,0.5140845070422536
很多,2,0.6543033761293389
从西向东,2,0.5731953159196616
划过,2,0.3666666666666667
流星,2,0.5
哈哈,2,0.5262327818078083
才能,2,0.38769566800145616
好好,2,0.5683760683760685
心境,2,0.9166666666666667
澄澈,2,0.7499999999999999
幸福,2,0.9162790697674418
相伴,2,0.5999999999999999
一天,2,0.38121739130434773
加油,2,0.9047619047619047
结算,2,0.045454545454545525
多多,2,0.7142857142857141
这片,2,0.5499999999999999
然后,2,0.5262327818078083
照片,1,0.45744680851063857
作揖,1,0.3824897040331069
雷总雷厂,1,0.9082846204657966
早雷,1,0.5
总起,1,0.6062992125984252
现在,1,0.5262327818078083
出门,1,0.4641574389913593
帅昂,1,0.9805510976692554
雷总,1,0.938465616777603
啥时候,1,0.5262327818078083
应该,1,0.5262327818078083
很帅,1,0.692307692307692
放心,1,0.7428571428571427
A6ngbsd5,1,0.5
太帅,1,0.5
今天,1,0.5262327818078083
生日,1,0.5925925925925922
祝福,1,0.9473684210526315
羞嗒,1,0.5
起床,1,0.23684210526315785
一夜,1,0.408695652173913
没睡,1,0.15417029523007642
黑线,1,0.5
雷粉,1,0.5
问好,1,0.8
周一,1,0.4959016393442627
不聊,1,0.33083829724861036
起得,1,0.2500000000000001
抽时间,1,0.31479081297692213
解决,1,0.37531486146095705
红米,1,0.5457079346874795
note10pro,1,0.5
虚焊,1,0.8437938897592079
问题,1,0.5262327818078083
手机,1,0.559322033898305
突然,1,0.5262327818078083
卡死,1,0.14987701657518904
无限,1,0.9655172413793103
重启,1,0.09354965082385458
一路,1,0.7936507936507938
前行,1,0.5
请勿,1,0.3043478260869569
初心,1,0.5
小米,1,0.8333333333333333
服务,1,0.5110059658506481
卢伟冰,1,0.7819012409985965
雷军雷,1,0.9082846204657966
SUV,1,0.5
垫子,1,0.7499999999999999
起来,1,0.5262327818078083
人用,1,0.5702515177797052
不买,1,0.3531851556494381
行动,1,0.5262327818078083
中国新疆地区,1,0.9734515568705279
拳头,1,0.5
不能,1,0.3693910911319984
一点,1,0.46538124452234875
疑问,1,0.5714285714285716
锦绣河山,1,0.8437938897592069
如诗如画,1,0.5
无止境,1,0.5
万里,1,0.6744263912296008
江山,1,0.8
神州,1,0.625
山河,1,0.19999999999999996
漂亮,1,0.8996655518394647
眼里,1,0.85
常含,1,0.6375212236023559
泪水,1,0.8888888888888888
因为,1,0.5262327818078083
爱得,1,0.8999999999999999
深沉,1,0.5624999999999997
跟随,1,0.8571428571428571
小撒,1,0.5
老师,1,0.8788819875776398
云游,1,0.8333333333333333
山山水水,1,0.2500000000000001
山水,1,0.7857142857142858
贝宁,1,0.5
超话,1,0.5
太美,1,0.7401846550314694
天呐,1,0.49255155159791475
开学,1,0.19999999999999996
热爱,1,0.8305084745762713
美美,1,0.9704314823940274
伟大祖国,1,0.8333333333333333
地大物博,1,0.7297953905324696
风景秀丽,1,0.8543460725756783
大好河山,1,0.5
奖励,1,0.6153846153846156
帽子,1,0.625
一枚,1,0.8
下班,1,0.59375
回来,1,0.46328671328671334
想持,1,0.5
真心,1,0.6923076923076924
喜欢,1,0.6994590939824207
飞机,1,0.3831168831168832
黑鬼,1,0.650591973450444
哪里,1,0.5262327818078083
111,1,0.2500000000000001
关键词,1,0.7959724438686024
大佬,1,0.8
推个,1,0.5
剧涨,1,0.9761465824155371
工农兵,1,0.5
骨头,1,0.6666666666666666
挺卡,1,0.5
一条,1,0.5420560747663552
伟人,1,0.8
永远,1,0.6870748299319726
如何,1,0.5262327818078083
女票,1,0.5
翻天,1,0.8571428571428571
A6ngXdT2,1,0.5
没什么,1,0.38086642599277976
罪大恶极,1,0.7169858534114903
控制,1,0.5326633165829147
不住,1,0.25700597156594196
偷拍,1,0.4655616835563693
不是,1,0.3693910911319984
楼梯口,1,0.19197537129083297
后续,1,0.5999999999999999
随便,1,0.28915662650602425
公开,1,0.3846153846153848
有错,1,0.564547206165703
楼主,1,0.5517570736126622
以后,1,0.5262327818078083
对象,1,0.8260869565217391
千万别,1,0.16877637130801704
这种,1,0.5262327818078083
地方,1,0.46828358208955223
看不起,1,0.7499999999999999
有人,1,0.5543071161048689
体会,1,0.7573529411764707
师生,1,0.7499999999999999
上头,1,0.5
爱情,1,0.8782608695652173
亲个,1,0.5
咋啦,1,0.5262327818078083
疑似,1,0.19517424612587508
发春,1,0.4141061202796159
嘎嘎,1,0.8333333333333333
长高甜,1,0.8748361866593425
过程,1,0.6678700361010828
看样子,1,0.4285714285714288
尽兴,1,0.8571428571428571
反手,1,0.5
效率,1,0.5528455284552846
关注,1,0.8120805369127518
要是,1,0.5262327818078083
擦边,1,0.19999999999999996
否则,1,0.5262327818078083
我定,1,0.2264150943396227
举报,1,0.4285714285714284
啤是,1,0.5
感觉,1,0.5483091787439613
臭臭,1,0.014768017697662672
这顿,1,0.5217391304347825
没下顿,1,0.3302485663264493
有点,1,0.5262327818078083
远呐,1,0.60712548991507
A6TjmudT,1,0.5
异地,1,0.7777777777777779
女友,1,0.5833333333333336
格局,1,0.3333333333333337
打开,1,0.3304535637149031
来来,1,0.33333333333333337
点汁源,1,0.7056779322538226
女神,1,0.7499999999999999
这么,1,0.5262327818078083
过来,1,0.5262327818078083
帮忙,1,0.2848484848484848
放过,1,0.4516129032258063
我行,1,0.33333333333333337
不行,1,0.26171874999999967
年轻,1,0.8536585365853658
蚌埠,1,0.2500000000000001
次太少,1,0.24732680590462963
汝城,1,0.6212904637356593
湾湾,1,0.9048472308186659
东莞,1,0.6896551724137933
百色,1,0.5
宝鸡,1,0.5
吃瓜,1,0.5
合肥,1,0.2500000000000001
七八次,1,0.48489482576874243
基隆,1,0.11447516390890655
太原,1,0.7777777777777779
长春,1,0.46153846153846145
嘻嘻,1,0.9444444444444444
实话,1,0.19999999999999996
性生活,1,0.9443424943266528
品质,1,0.7875000000000001
卓越,1,0.185185185185185
温暖,1,0.9387755102040818
责任,1,0.3537414965986396
并存,1,0.5
优质,1,0.5438596491228068
国产,1,0.578947368421053
持续,1,0.5135135135135137
发展,1,0.8450704225352111
点赞,1,0.886305659830214
毛病,1,0.614035087719298
大赞,1,0.919590535049011
力挺,1,0.8577104537754549
女生,1,0.5375
出口,1,0.578947368421053
恰瓜群,1,0.48890108756502804
太坏,1,0.125
它们,1,0.5262327818078083
必须,1,0.5262327818078083
每次,1,0.652027027027027
说一千道一万,1,0.3935338194761976
还滴,1,0.5839468467315527
抵制,1,0.7058823529411765
科普,1,0.9749999999999999
到位,1,0.7643979057591622
看起来,1,0.5875212430201505
试衣,1,0.5
做广告,1,0.39551973308988064
公司,1,0.4777448071216617
从来,1,0.42105263157894746
没买过,1,0.33864895989693145
想想,1,0.46846846846846857
觉得,1,0.5262327818078083
恶心,1,0.12413793103448256
滋润,1,0.6666666666666666
三次,1,0.3870764704347681
确实,1,0.6538461538461541
留下,1,0.519774011299435
传说,1,0.6712328767123289
听说,1,0.5778894472361809
很久很久,1,0.7951932684848546
以前,1,0.5262327818078083
水域,1,0.5
石楠,1,0.7826653358894131
味道,1,0.42975206611570216
海蓝,1,0.9531028732832902
omg,1,0.5
变得,1,0.6016597510373444
海洋,1,0.8076923076923077
创伤,1,0.7499999999999999
弧菌,1,0.5
检测,1,0.4090909090909093
阳性,1,0.5
潜水,1,0.5
浪漫,1,0.8387096774193549
水下,1,0.7499999999999999
婚纱照,1,0.40000000000000013
上天,1,0.8999999999999999
交叉感染,1,0.5531549239358612
海里,1,0.375
试试,1,0.7525773195876289
鲍鱼,1,0.19999999999999996
正常,1,0.5262327818078083
更好,1,0.7402366332819819
结果,1,0.5262327818078083
生出,1,0.5954574914737661
适度,1,0.8571428571428571
小鱼,1,0.9166666666666667
过度,1,0.3684210526315791
洗澡,1,0.2907348242811503
实用,1,0.676470588235294
造成,1,0.5262327818078083
技巧,1,0.6712328767123289
泳池,1,0.5434782608695654
海边,1,0.7594936708860758
负担,1,0.8888888888888888
偷偷,1,0.9333333333333333
撒尿,1,0.09093661119089869
MapleSugar,1,0.5
__,1,0.2500000000000001
每天,1,0.5262327818078083
25,1,0.4273504273504277
反对,1,0.692307692307692
海水,1,0.6875000000000002
不脏,1,0.5
有没有,1,0.35387860323412235
感受,1,0.7176165803108807
钻进去,1,0.16972887983127904
加入,1,0.5262327818078083
土豆,1,0.7499999999999999
救世主,1,0.8009470333910829
KaSaeki,1,0.5
流油,1,0.47254225648700543
不来,1,0.3693910911319984
20,1,0.3739376770538242
萌萌,1,0.9168652989221631
冬冬,1,0.849099269523228
拐狗,1,0.8045555287471536
不吃,1,0.3624014722644191
板栗,1,0.5
杂货铺,1,0.043075923199741406
一口,1,0.4508547008547008
徐小八,1,0.8209588811433709
方山,1,0.5
牙子,1,0.5287446894474102
谁家,1,0.2500000000000001
大头,1,0.36363636363636365
Renaissance,1,0.5
仓仓,1,0.1837233963534416
管理,1,0.4642857142857145
闻一闻,1,0.2195692436473886
新轩,1,0.5
小狐,1,0.9009096538717508
拉面馆,1,0.2784174005786142
吓死,1,0.3150105708245242
几个,1,0.5262327818078083
距离,1,0.5341880341880341
Wi,1,0.5
张弛,1,0.5849604429299161
有度,1,0.8571428571428571
Fi,1,0.5
信号,1,0.3535353535353537
不好,1,0.24509033778476041
做到,1,0.5262327818078083
踏实,1,0.6363636363636368
精彩,1,0.6973684210526313
H1eieseOo,1,0.5
一起,1,0.5262327818078083
东西,1,0.5285524568393094
A6m5zZPG,1,0.5
A6m52Vr5,1,0.5
周五,1,0.6666666666666666
愉快,1,0.5333333333333333
欢乐,1,0.6190476190476193
时光,1,0.8765432098765432
爆炒,1,0.11300407996574746
希望,1,0.562893081761006
天天开心,1,0.8834014393042217
非常,1,0.5262327818078083
赞同,1,0.56
围观,1,0.7499999999999999
冒个,1,0.5
帮转,1,0.5639796399399523
很美,1,0.9180397702086781
值得,1,0.7528735632183908
一赞,1,0.9178743961352657
理由,1,0.2971014492753621
棒棒,1,0.9969959729506049
哈哈哈,1,0.8684210526315791
哎呀呀,1,0.5262327818078083
理解,1,0.6498855835240274
顾名思义,1,0.5
办好,1,0.4698647494623567
事儿,1,0.30769230769230804
主页,1,0.2500000000000001
第一条,1,0.5660333446087157
真的,1,0.5305096913137115
想当然,1,0.33333333333333337
选择,1,0.6148007590132829
假睫毛,1,0.4737672181921926
双眼皮,1,0.2976553250106694
眼睛,1,0.5632911392405064
神采,1,0.5
同时,1,0.5262327818078083
保持,1,0.5262327818078083
自然,1,0.7364864864864865
肤色,1,0.5
眼部,1,0.5
保湿,1,0.46440633789904484
以免,1,0.5262327818078083
出现,1,0.5262327818078083
细纹,1,0.5
脱妆,1,0.5
发现,1,0.4223529411764706
容易,1,0.5262327818078083
焦虑,1,0.7499999999999999
实际上,1,0.478723404255319
事情,1,0.5310492505353319
邻居,1,0.85
库存,1,0.5
互相,1,0.5262327818078083
哈哈哈哈,1,0.8684210526315791
你好,1,0.5312500000000001
王屯,1,0.5
友情,1,0.9230769230769229
攒钱,1,0.2237030145229516
珍贵,1,0.9473684210526315
第一次,1,0.4968751341867461
第一,1,0.5503512880562061
后面,1,0.5262327818078083
直接,1,0.5262327818078083
那里,1,0.5262327818078083
过生日,1,0.5925925925925922
生怕,1,0.9230769230769229
点错,1,0.4748649899417645
五个,1,0.5604395604395602
里面,1,0.5262327818078083
三个,1,0.4390476190476189
第一个,1,0.5503512880562061
互移,1,0.4737672181921908
哇塞,1,0.4324324324324327
超懂,1,0.5563615237224633
小窍门,1,0.5
content,1,0.5
缘分,1,0.9333333333333333
王道,1,0.8302866378416528
聪明绝顶,1,0.7541867734742718
小可爱,1,0.8104527874836536
索命,1,0.5
大长,1,0.19999999999999996
花瓣,1,0.7857142857142858
爱看,1,0.7922091176395719
谢谢,1,0.5965665236051504
对不起,1,0.27397260273972623
巨大,1,0.5262327818078083
back,1,0.5
注定,1,0.9310344827586208
没法,1,0.11111111111111116
命中注定,1,0.9951671723178128
越来越,1,0.5886075949367088
